mode,cpu,bw,rep,t_dl,t_cpu,t_total,t_off,sum,ok
offload,1c,10M,1,,,,17.5583,179986461084,1
offload,1c,10M,2,,,,17.4496,179986461084,1
offload,1c,10M,3,,,,17.4602,179986461084,1
offload,1c,10M,4,,,,17.2632,179986461084,1
offload,1c,10M,5,,,,17.2941,179986461084,1
